date,CAPE,ECY,Buffett,VIX,VIXTerm,Dev200,Drawdown,WeeklyRSI,PutCall,BreadthRaw,Breadth,HY,B
2015-02-25,72.5,7.5,90.83333333333333,77.12212054275797,96.97878228782288,62.33194222968563,81.87364852698856,51.63154279930596,26.497743126795243,73.3,54.879999999999995,62.872154115586696,58.876077057793346
2015-02-26,72.5,7.5,90.83333333333333,76.77867171478151,96.24250806823422,62.56391348396424,81.53330742417188,51.63154279930596,25.025641025641022,73.5,54.93333333333334,64.05121470781353,59.49227402057343
2015-02-27,72.5,7.5,90.83333333333333,80.74132492113564,99.00921658986175,60.187334195245235,79.26221086005248,46.584066885676314,22.19031993437244,72.9,54.77333333333333,64.04814004376368,59.41073668854851
2015-03-02,79.16666666666666,18.055555555555557,95.27777777777777,83.10991957104558,98.87148779364348,63.96392224944979,85.45048360938182,46.584066885676314,21.273323764609387,73.5,54.93333333333334,64.78888645810545,59.861109895719395
2015-03-03,79.16666666666666,18.055555555555557,95.27777777777777,77.01829076001262,96.10957642725599,60.66254031689955,80.14404011686489,46.584066885676314,20.582205822058214,73.3,54.879999999999995,64.7856517935258,59.8328258967629
2015-03-04,79.16666666666666,18.055555555555557,95.27777777777777,74.72804666561564,92.24574321214911,58.202310544412065,77.45246461070982,46.584066885676314,21.68477146956343,70.71,54.18933333333333,63.89678547999125,59.043059406662294
2015-03-05,79.16666666666666,18.055555555555557,95.27777777777777,75.81967213114754,91.46734130634775,58.54092468012136,78.19178530291258,46.584066885676314,20.338114754098356,70.31,54.08266666666667,63.67512024486226,58.87889345576447
2015-03-06,79.16666666666666,18.055555555555557,95.27777777777777,68.58944050433412,81.49425287356323,50.815618464412054,70.2324828221416,34.82051030549381,12.53841425937307,65.33,52.754666666666665,64.18579234972677,58.47022950819672
2015-03-09,79.16666666666666,18.055555555555557,95.27777777777777,69.40592499212102,79.94025735294117,52.32072629501435,72.00896737347009,34.82051030549381,9.69889389594428,65.73,52.861333333333334,63.29763986013986,58.0794865967366
2015-03-10,79.16666666666666,18.055555555555557,95.27777777777777,58.50007877737514,52.4345429490124,42.59235575779359,64.48896391011117,34.82051030549381,8.877739094818764,62.54,52.010666666666665,60.618308935984274,56.31448780132547
2015-03-11,79.16666666666666,18.055555555555557,95.27777777777777,57.3408947700063,54.33884297520662,40.94127333293258,63.52046665125026,34.82051030549381,7.923832923832919,60.95,51.586666666666666,61.58802970729576,56.58734818698122
2015-03-12,79.16666666666666,18.055555555555557,95.27777777777777,67.49094345566232,68.9995410738871,45.6328148737092,68.13361654719384,34.82051030549381,7.625383828045045,66.13,52.967999999999996,61.432627211181476,57.200313605590736
2015-03-13,79.16666666666666,18.055555555555557,95.27777777777777,63.52755905511811,64.47247706422019,42.6499491648289,65.70151048670985,29.671297195066035,6.232091690544422,63.47,52.25866666666666,60.09825327510917,56.178459970887914
2015-03-16,79.16666666666666,18.055555555555557,95.27777777777777,65.94237128011336,62.70059605685465,49.05543225003012,71.43054213291683,29.671297195066035,6.241047677511773,66.26,53.00266666666667,58.95001091464746,55.97633879065707
2015-03-17,79.16666666666666,18.055555555555557,95.27777777777777,65.59351385390428,63.6801099908341,48.0033214883792,70.2164199257154,29.671297195066035,6.403436988543376,64.27,52.472,56.52553470100393,54.498767350501964
2015-03-18,79.16666666666666,18.055555555555557,95.27777777777777,76.41271840075555,88.98305084745763,54.081704669331266,77.06676925872682,29.671297195066035,6.013499693188791,68.53,53.608,53.905738599170846,53.75686929958542
2015-03-19,79.16666666666666,18.055555555555557,95.27777777777777,75.62952470884483,95.39835164835165,52.300115772875536,74.60351410753617,29.671297195066035,6.39059304703477,66.53,53.074666666666666,56.53359511343805,54.804130890052356
2015-03-20,79.16666666666666,18.055555555555557,95.27777777777777,83.3123524783635,99.29061784897026,56.57484869096737,80.2152837341549,58.24343400331537,10.774892659987728,69.53,53.87466666666667,55.910577971646674,54.89262231915667
2015-03-23,79.16666666666666,18.055555555555557,95.27777777777777,80.15261170547514,97.64409881061299,54.989535490572194,78.86612250686201,58.24343400331537,13.286999182338505,69.53,53.87466666666667,55.56040122110772,54.71753394388719
2015-03-24,79.16666666666666,18.055555555555557,95.27777777777777,78.59053012427245,96.59350708733425,51.85156026092322,75.23963773137561,58.24343400331537,13.958716533823832,67.53,53.34133333333333,55.91890124264225,54.63011728798779
2015-03-25,79.16666666666666,18.055555555555557,95.27777777777777,67.29317395407361,75.02285191956125,42.22716963137791,67.15581809850343,58.24343400331537,14.395177768696371,62.52,52.00533333333333,57.67218831734961,54.83876082534147
2015-03-26,79.16666666666666,18.055555555555557,95.27777777777777,64.79792420191853,61.009593421653726,40.647832929882235,66.09754716642419,58.24343400331537,16.046986721144023,61.92,51.845333333333336,58.400522989758116,55.12292816154573
2015-03-27,79.16666666666666,18.055555555555557,95.27777777777777,69.33176100628931,82.30593607305936,41.92744343079172,67.25917938969417,32.42533123736807,18.20874183006535,61.32,51.68533333333333,57.65795206971678,54.67164270152506
2015-03-30,79.16666666666666,18.055555555555557,95.27777777777777,73.01524917465807,86.0109539023277,47.754252973428166,72.77487547240787,32.42533123736807,20.114355727996738,65.73,52.861333333333334,58.72358963188848,55.7924614826109
2015-03-31,79.16666666666666,18.055555555555557,95.27777777777777,68.04464005029865,78.99178832116789,42.491875267802676,68.38539835102299,32.42533123736807,17.639853001224992,63.32,52.218666666666664,55.49869337979094,53.8586800232288
2015-04-01,75.55555555555556,83.05555555555556,94.72222222222221,69.07905076221908,79.04696762425901,40.00764692285555,66.55110696669341,32.42533123736807,14.615227597468873,63.32,52.218666666666664,54.83344219464402,53.52605443065534
2015-04-02,75.55555555555556,83.05555555555556,94.72222222222221,71.8730358265242,88.08113035551504,41.07705293139269,67.87735366858729,32.42533123736807,11.795918367346943,64.72,52.592,55.50718328254245,54.04959164127122
2015-04-06,75.55555555555556,83.05555555555556,94.72222222222221,71.24901806755696,76.37813211845102,44.61647725151745,71.00816766902565,29.332748604330348,11.18139155274433,66.73,53.128,56.22415669205658,54.67607834602829
2015-04-07,75.55555555555556,83.05555555555556,94.72222222222221,71.0650329877474,73.88433515482696,43.29484506629353,70.06003671427433,29.332748604330348,9.771521827825381,65.33,52.754666666666665,59.07310704960835,55.91388685813751
2015-04-08,75.55555555555556,83.05555555555556,94.72222222222221,76.31537615831633,87.91533909877106,45.43123140116505,71.67831039332992,29.332748604330348,10.850499694064865,65.13,52.70133333333333,60.47422231890363,56.58777782611848
2015-04-09,75.55555555555556,83.05555555555556,94.72222222222221,82.80464824120602,97.11101000909918,47.916507939198745,74.53107307080575,29.332748604330348,11.378466557911906,66.33,53.02133333333333,61.58112222705524,57.30122778019428
2015-04-10,75.55555555555556,83.05555555555556,94.72222222222221,86.74831213691317,97.47612551159618,50.234250641215766,77.58765920529274,46.57516643493203,12.793068297655452,66.73,53.128,61.95912154816264,57.54356077408132
2015-04-13,75.55555555555556,83.05555555555556,94.72222222222221,76.62480376766091,87.02272727272728,47.75715770833142,74.94053605967248,46.57516643493203,15.226253567060738,65.13,52.70133333333333,61.95652173913043,57.32892753623188
2015-04-14,75.55555555555556,83.05555555555556,94.72222222222221,78.26086956521739,83.71194911403907,47.519786625936376,75.4864869363798,46.57516643493203,13.083350315875279,67.53,53.34133333333333,61.55183655727016,57.446584945301744
2015-04-15,75.55555555555556,83.05555555555556,94.72222222222221,84.7143753923415,96.88919164396003,50.33916953228841,78.94078793511602,46.57516643493203,17.929910350448253,70.54,54.144000000000005,62.25554106910039,58.1997705345502
2015-04-16,75.55555555555556,83.05555555555556,94.72222222222221,86.59187195983054,96.3004993191103,49.52249058421867,78.30035880121122,46.57516643493203,23.365247504583422,69.33,53.821333333333335,61.72061698892027,57.7709751611268
2015-04-17,75.55555555555556,83.05555555555556,94.72222222222221,76.81989331659868,84.41470054446461,42.50724284531295,71.09351792594043,42.1904536185228,23.27902240325865,65.73,52.861333333333334,60.66463944396177,56.76298638864755
2015-04-20,75.55555555555556,83.05555555555556,94.72222222222221,81.13725490196079,87.18820861678005,48.18633067916089,77.09636635565872,42.1904536185228,24.61820403176543,69.53,53.87466666666667,61.96525515743757,57.91996091205212
2015-04-21,75.55555555555556,83.05555555555556,94.72222222222221,81.43036386449185,87.14868540344514,48.40562630348878,76.82295557390043,42.1904536185228,27.056188925081443,66.73,53.128,62.41858445505862,57.77329222752931
2015-04-22,75.55555555555556,83.05555555555556,94.72222222222221,85.72212639172024,96.21658359764386,50.96004025236165,80.3153293562423,42.1904536185228,27.264400569916546,68.53,53.608,63.26242674191448,58.43521337095724
2015-04-23,75.55555555555556,83.05555555555556,94.72222222222221,87.55095641266855,96.17300724637681,52.32161467870037,82.17386595040426,42.1904536185228,27.360602360602357,69.33,53.821333333333335,62.78211805555556,58.30172569444444
2015-04-24,75.55555555555556,83.05555555555556,94.72222222222221,89.1048753723154,98.03078315980082,55.808977905406024,87.31805325271975,61.216642273437074,29.582909460834188,68.93,53.714666666666666,62.57322629637665,58.14394648152166
2015-04-27,75.55555555555556,83.05555555555556,94.72222222222221,82.54702194357367,95.99547511312217,53.462765536241456,82.57802879242224,61.216642273437074,29.841334418226197,67.93,53.448,62.78741865509762,58.11770932754881
2015-04-28,75.55555555555556,83.05555555555556,94.72222222222221,88.16799874627802,97.62550881953867,53.72565773226278,83.91069151692098,61.216642273437074,33.89261744966443,70.34,54.090666666666664,63.489481674257206,58.790074170461935
2015-04-29,75.55555555555556,83.05555555555556,94.72222222222221,80.2413036665622,92.65370705244123,50.64775229793264,80.8346073793528,61.216642273437074,30.13420089467263,69.13,53.768,63.26973113616653,58.518865568083264
2015-04-30,75.55555555555556,83.05555555555556,94.72222222222221,72.4267585774714,70.83145051965657,43.77331539353763,73.26529443949447,61.216642273437074,25.543809717422235,63.12,52.16533333333333,62.07457186212877,57.11995259773105
2015-05-01,77.22222222222223,81.94444444444444,95.27777777777777,85.75344611528823,95.64137308039747,50.01390255022497,80.90700173816745,48.071359691417555,29.136178861788622,67.73,53.394666666666666,63.27481577806675,58.33474122236671
2015-05-04,77.22222222222223,81.94444444444444,95.27777777777777,84.5497259201253,94.06320541760722,50.95202203161273,82.72873967265936,48.071359691417555,25.33021743548059,69.33,53.821333333333335,63.596966413867825,58.70914987360058
2015-05-05,77.22222222222223,81.94444444444444,95.27777777777777,73.9664891951143,75.38357400722022,43.3825173614156,74.00052594183795,48.071359691417555,18.783015034538806,63.12,52.16533333333333,63.85398613518198,58.00965973425765
2015-05-06,77.22222222222223,81.94444444444444,95.27777777777777,68.53765461092846,55.953991880920164,40.46277111188073,71.16335591825654,48.071359691417555,17.469022953483645,61.12,51.632,63.69937188650639,57.665685943253195
2015-05-07,77.22222222222223,81.94444444444444,95.27777777777777,68.65998747651847,57.01082055906222,42.4847368824349,73.44368940609475,48.071359691417555,19.181559707554825,63.52,52.272,62.71113035946297,57.49156517973148
2015-05-08,77.22222222222223,81.94444444444444,95.27777777777777,84.47331350759117,95.51599819738621,49.30545996788254,82.44524222792525,66.02028851398424,17.350253807106597,66.93,53.181333333333335,63.23879627625027,58.2100648047918
2015-05-11,77.22222222222223,81.94444444444444,95.27777777777777,76.92488262910798,84.16666666666667,46.50650985519789,78.79795590906626,66.02028851398424,23.396264717823783,66.13,52.967999999999996,64.12337662337663,58.54568831168831
2015-05-12,77.22222222222223,81.94444444444444,95.27777777777777,76.8737286809576,90.20711391265196,44.408935375197416,76.7366206715576,66.02028851398424,20.438400649482446,64.72,52.592,62.44319411382818,57.517597056914084
2015-05-13,77.22222222222223,81.94444444444444,95.27777777777777,77.62828535669587,90.48154815481548,44.46751840221198,76.73536617920044,66.02028851398424,21.89529220779221,65.13,52.70133333333333,63.57637386412808,58.138853598730705
2015-05-14,77.22222222222223,81.94444444444444,95.27777777777777,85.45283904270296,98.35807467386415,50.90052490040334,85.92578606283195,66.02028851398424,27.36863461148306,66.73,53.128,63.465282284231016,58.296641142115504
2015-05-15,77.22222222222223,81.94444444444444,95.27777777777777,88.46574913981858,98.5386690647482,50.89869727314199,85.89805208160854,57.3123795706158,30.567951318458427,67.33,53.288,62.66219723183391,57.97509861591695
2015-05-18,77.22222222222223,81.94444444444444,95.27777777777777,85.53557466770914,93.37078651685393,52.5049661682889,86.45934817007205,57.3123795706158,30.186574731291827,69.13,53.768,63.82702702702703,58.797513513513515
2015-05-19,77.22222222222223,81.94444444444444,95.27777777777777,84.52157598499062,91.57681940700809,51.42452543964998,84.03071249470761,57.3123795706158,35.79683698296837,67.93,53.448,64.0293990488543,58.73869952442715
2015-05-20,77.22222222222223,81.94444444444444,95.27777777777777,84.27387838049086,88.21284238886395,50.91151983044046,83.41184905439692,57.3123795706158,40.88789783093453,67.33,53.288,63.810244218716235,58.549122109358116
2015-05-21,77.22222222222223,81.94444444444444,95.27777777777777,90.67677399187247,94.86086175942549,52.55952218359495,87.0841062630159,57.3123795706158,41.264693960275636,68.53,53.608,63.54796888504753,58.577984442523764
2015-05-22,77.22222222222223,81.94444444444444,95.27777777777777,90.56102516018127,92.66487213997308,51.33731821746814,83.72738536421801,45.42322051794508,40.091185410334354,66.73,53.128,63.95549794772089,58.54174897386045
2015-05-26,77.22222222222223,81.94444444444444,95.27777777777777,75.375,54.46188340807175,44.99742954913043,76.23051712098872,45.42322051794508,24.87844408427877,62.52,52.00533333333333,63.53131749460043,57.76832541396688
2015-05-27,77.22222222222223,81.94444444444444,95.27777777777777,81.16700515544446,69.1393993724787,51.13632707422419,83.78855080873721,45.42322051794508,24.640469921004666,64.12,52.432,63.895486935866984,58.16374346793349
2015-05-28,77.22222222222223,81.94444444444444,95.27777777777777,80.84973445798188,67.6747311827957,49.77627429453928,82.64593016194044,45.42322051794508,20.50425273390036,64.12,52.432,63.676597582038,58.054298791019
2015-05-29,77.22222222222223,81.94444444444444,95.27777777777777,76.86240824613462,59.6730855351545,46.16641046347411,78.20210549160154,34.5664039673614,13.808463251670375,58.71,50.989333333333335,63.360673429743144,57.17500338153824
2015-06-01,78.05555555555556,29.72222222222223,96.38888888888889,76.06183635227983,55.39391226499553,47.20013915576008,79.79670252404598,34.5664039673614,13.55263157894737,60.55,51.48,63.35779024600777,57.41889512300388
2015-06-02,78.05555555555556,29.72222222222223,96.38888888888889,74.2544886807182,55.458612975391496,45.93154576656459,78.76162957932223,34.5664039673614,14.015381501720299,60.15,51.373333333333335,63.81877022653722,57.59605177993528
2015-06-03,78.05555555555556,29.72222222222223,96.38888888888889,78.13768342179208,65.58586762075134,47.03602574004921,80.29003637810668,34.5664039673614,16.390125455281265,60.95,51.586666666666666,64.09620362381364,57.841435145240155
2015-06-04,78.05555555555556,29.72222222222223,96.38888888888889,71.14093959731544,56.75011175681717,42.525213405924475,74.71665367521858,34.5664039673614,11.703418976330155,56.77,50.472,62.23851628207893,56.35525814103947
