date,spx,ndx,CAPE,ECY,Buffett,V,VIX,VIXTerm,PutCall,S,Dev200,Drawdown,WeeklyRSI,T,HY,BreadthRaw,BreadthU,B,base,ndx_overheat,spx_div,ndx_div,heat_spx,heat_ndx,vix_panic,vix_backwardation,raw_band_spx,raw_band_ndx,band_spx,band_ndx,sell_days,sell_signal
2019-08-01,2953.56005859375,7801.14990234375,90.27777777777779,67.5,97.5,81.47222222222223,46.84733029246042,14.814250913520098,63.78555798687089,43.92052875604848,60.33013205282113,71.20998944776645,50.68532267275842,61.726879796036314,65.76759966072943,66.73,53.128,59.447799830364715,64.94552100994656,False,False,False,64.94552100994656,64.94552100994656,False,False,yellow,yellow,orange,orange,0,False
2019-08-02,2932.050048828125,7692.7998046875,90.27777777777779,67.5,97.5,81.47222222222223,48.350100603621726,17.57990867579909,61.921875,44.72908494057955,53.72104189172968,65.84407971864009,27.197488584474886,51.333216804334626,64.05189959294437,64.95,52.653333333333336,58.35261646313885,62.43972597143133,False,False,False,62.43972597143133,62.43972597143133,False,False,yellow,yellow,orange,orange,0,False
2019-08-05,2844.739990234375,7415.68994140625,90.27777777777779,67.5,97.5,81.47222222222223,17.998927038626604,2.17589774802191,51.21836925960637,24.009002382269358,34.76956313010081,54.47778689485406,27.197488584474886,39.774422811357965,58.53823978294048,53.46,48.24,53.389119891470244,53.87365717644275,False,False,False,53.87365717644275,53.87365717644275,False,True,neutral,neutral,orange,orange,0,False
2019-08-06,2881.77001953125,7521.31982421875,90.27777777777779,67.5,97.5,81.47222222222223,35.503553707925434,8.594463036203223,37.820112429731424,29.471248656536677,41.94767790711629,58.24542897327707,27.197488584474886,43.96434344961221,59.52865378094269,57.62,50.69866666666667,55.11366022380468,56.45915293780659,False,False,False,56.45915293780659,56.45915293780659,False,True,neutral,neutral,orange,orange,0,False
2019-08-07,2883.97998046875,7551.89990234375,90.27777777777779,67.5,97.5,81.47222222222223,38.911236256368994,13.27554744525547,22.21354979706524,27.493008115799487,43.05855531557475,58.95933434899801,27.197488584474886,44.65856129449792,58.781149347347004,57.22,50.592,54.686574673673505,56.0954387088306,False,False,False,56.0954387088306,56.0954387088306,False,False,neutral,neutral,orange,orange,0,False
2019-08-08,2938.090087890625,7724.830078125,90.27777777777779,67.5,97.5,81.47222222222223,52.19198283952273,30.267558528428097,16.32334581772784,35.95028565521061,55.0629874025195,67.36583079446919,27.197488584474886,52.40260788519073,61.91525423728814,62.17,51.912,56.91362711864407,60.36847498585363,False,False,False,60.36847498585363,60.36847498585363,False,False,yellow,yellow,orange,orange,0,False
2019-08-09,2918.64990234375,7646.27001953125,90.27777777777779,67.5,97.5,81.47222222222223,46.34718498659517,22.65957446808511,13.213728549141962,30.48524542573169,50.01199616122841,63.47978910369068,24.329720479178548,48.30515477057774,61.913235044907644,59.72,51.25866666666666,56.585950855787154,57.945084023544965,False,False,False,57.945084023544965,57.945084023544965,False,False,neutral,neutral,orange,orange,0,False
2019-08-12,2882.699951171875,7561.68017578125,90.27777777777779,67.5,97.5,81.47222222222223,31.21565473797078,8.006684898207226,9.045539613225202,18.76237774060622,42.59325896605493,59.0147610121837,24.329720479178548,43.7749000604809,60.36089461199594,56.85,50.49333333333333,55.427113972664635,53.76591973642714,False,False,False,53.76591973642714,53.76591973642714,False,True,neutral,neutral,orange,orange,0,False
2019-08-13,2926.320068359375,7728.14990234375,90.27777777777779,67.5,97.5,81.47222222222223,48.88769766818547,30.72600243013366,10.492672279388842,32.828766242033524,52.87838810266251,66.10050368982078,24.329720479178548,50.36896165229692,62.89174995764865,59.0,51.06666666666667,56.97920831215766,59.08624169368728,False,False,False,59.08624169368728,59.08624169368728,False,False,neutral,neutral,orange,orange,0,False
2019-08-14,2840.60009765625,7490.1298828125,90.27777777777779,67.5,97.5,81.47222222222223,26.812273884496847,6.635286972365634,7.543640897755608,15.987437260441672,35.32198105288404,55.22956195830405,24.329720479178548,39.541569226354675,59.18868563685637,52.47,47.10857142857142,53.1486285327139,51.78600336385938,False,False,False,51.78600336385938,51.78600336385938,False,True,neutral,neutral,orange,orange,0,False
2019-08-15,2847.60009765625,7484.89013671875,90.27777777777779,67.5,97.5,81.47222222222223,30.72079314040728,12.06739526411657,6.528513555624798,18.79975979589986,35.76738609112709,55.53929031502518,24.329720479178548,39.82813616650429,58.729889923793394,52.07,46.65142857142857,52.69065924761098,52.514928804251035,False,False,False,52.514928804251035,52.514928804251035,False,True,neutral,neutral,orange,orange,0,False
2019-08-16,2888.679931640625,7604.10986328125,90.27777777777779,67.5,97.5,81.47222222222223,43.985264567983926,34.613050075872536,6.838006230529587,30.498033443719777,43.50197818007433,60.18149882903982,31.38540478905359,46.31066705945707,59.3972231628852,54.45,49.371428571428574,54.38432586715689,57.2294966013988,False,False,False,57.2294966013988,57.2294966013988,False,False,neutral,neutral,orange,orange,0,False
2019-08-19,2923.64990234375,7719.31982421875,90.27777777777779,67.5,97.5,81.47222222222223,52.35735333511921,42.30885922330098,9.669884771099348,37.03898923795869,51.312634859745856,65.6656129258869,31.38540478905359,51.35436966522215,61.01235821906213,57.22,50.592,55.80217910953107,60.26744652563722,False,False,False,60.26744652563722,60.26744652563722,False,False,yellow,yellow,orange,orange,0,False
2019-08-20,2900.510009765625,7664.47021484375,90.27777777777779,67.5,97.5,81.47222222222223,48.98888442480246,38.989990900818924,12.795765877957649,35.631225479753134,46.27232410403931,62.35659096230391,31.38540478905359,48.18008767568549,61.19668246445498,55.64,50.17066666666667,55.68367456556082,59.110084634304634,False,False,False,59.110084634304634,59.110084634304634,False,False,neutral,neutral,orange,orange,0,False
