date,asset,strategy_value,fixed_value,cash,cash_pct,in_risk,price
2025-01-14,SPX,674.6447100093822,658.3524238854313,0.0,0.0,False,5842.91015625
2025-01-15,SPX,686.9993384463413,670.4086950708422,0.0,0.0,False,5949.91015625
2025-01-16,SPX,685.5479221820987,668.9923296840632,0.0,0.0,False,5937.33984375
2025-01-17,SPX,692.397271898938,675.6762714999819,0.0,0.0,False,5996.66015625
2025-01-21,SPX,698.468368426234,681.6007544983472,0.0,0.0,False,6049.240234375
2025-01-22,SPX,702.7555264267598,685.7843800709643,0.0,0.0,False,6086.3701171875
2025-01-23,SPX,706.4896082327464,689.4282859246448,0.0,0.0,False,6118.7099609375
2025-01-24,SPX,704.4724869189617,687.4598769435936,0.0,0.0,False,6101.240234375
2025-01-27,SPX,694.2007738751988,677.4362199290402,0.0,0.0,False,6012.27978515625
2025-01-28,SPX,700.599825980847,683.6807385650256,0.0,0.0,False,6067.7001953125
2025-01-29,SPX,697.3217924253831,680.4818676559403,0.0,0.0,False,6039.31005859375
2025-01-30,SPX,701.0004538542818,684.0716915031259,0.0,0.0,False,6071.169921875
2025-01-31,SPX,697.4626267101904,680.6193008728519,0.0,0.0,False,6040.52978515625
2025-02-03,SPX,693.1559141834616,676.4407424360913,0.0,0.0,False,5994.56982421875
2025-02-04,SPX,698.1638837522877,681.3279468642965,0.0,0.0,False,6037.8798828125
2025-02-05,SPX,700.8927780258427,683.991034967076,0.0,0.0,False,6061.47998046875
2025-02-06,SPX,703.4470406814949,686.483702622089,0.0,0.0,False,6083.56982421875
2025-02-07,SPX,696.7890761557994,679.9862921914502,0.0,0.0,False,6025.990234375
2025-02-10,SPX,701.4663014576755,684.5507281156088,0.0,0.0,False,6066.43994140625
2025-02-11,SPX,701.7045073406154,684.7831897609778,0.0,0.0,False,6068.5
2025-02-12,SPX,699.7931577897358,682.917931623817,0.0,0.0,False,6051.97021484375
2025-02-13,SPX,707.0894056779898,690.0382334744365,0.0,0.0,False,6115.06982421875
2025-02-14,SPX,707.0385349739062,689.9885894966035,0.0,0.0,False,6114.6298828125
2025-02-18,SPX,708.7672355484145,691.6756031628544,0.0,0.0,False,6129.580078125
2025-02-19,SPX,710.4519535718895,693.319694899325,0.0,0.0,False,6144.14990234375
